"Genename",Med(Ess(WT)) – Med(Ess(MT))
"LIMCH1",-0.052330519314071
"RIMS3",-0.052176401517478
"PNPLA5",-0.0519717992739
"PTPRC",-0.051742739110969
"LRP11",-0.051493349954716
"SPDEF",-0.051321294243778
"PNPLA3",-0.051243967008916
"PCDHA8",-0.051121024906937
"BMP3",-0.050884625129486
"MMP20",-0.050050469880716
"TNK2",-0.050030354757122
"NFE2L1",-0.049908515162554
"TINAGL1",-0.04877148423911
"SNAP47",-0.048363705941201
"TRPC4AP",-0.048038318826523
"PTGER1",-0.047665486110125
"IQSEC1",-0.047427818449951
"ZNF534",-0.047181650422415
"ADAMTS20",-0.046867982785907
"MAP3K6",-0.046321231690066
"ZNF35",-0.04627379589414
"ANXA4",-0.045741295027984
"LINC01587",-0.044781570373159
"ARHGAP10",-0.043833504990816
"IFI6",-0.042730744898249
"MARVELD3",-0.042393038384011
"ROBO3",-0.041731334869685
"GHITM",-0.040587998269363
"IRX1",-0.040257508142748
"ADAMTS6",-0.039278264448408
"ARFGAP3",-0.038893844522765
"GDF7",-0.038670771421374
"OPRD1",-0.03847317028077
"TSHR",-0.03833349907226
"POU4F2",-0.038161030871764
"RPL3L",-0.037811704963258
"IQUB",-0.03756301796809
"RAB11FIP5",-0.037267217032191
"PIP5K1B",-0.036886137713078
"AMPD2",-0.036835284379295
"HIVEP1",-0.036400548381274
"LSM14B",-0.036145975318383
"MNDA",-0.035938658145177
"EGFL7",-0.035300462741895
"FCAR",-0.034535716899329
"DYNC2H1",-0.034032273624376
"DMRT2",-0.033759863251224
"GLIS1",-0.033268964360412
"HSPB6",-0.03280116577568
"GPSM1",-0.030048493559836
"FZD4",-0.029592000556114
"GALR2",-0.02913512072283
"SH2D3A",-0.029035546047183
"TIGD2",-0.028988190205761
"TFF2",-0.028908065915204
"PRR16",-0.028788303589059
"DGKQ",-0.028741225149647
"TCTA",-0.028069972581485
"SOX6",-0.026804216465148
"SIGIRR",-0.026743371206161
"PNP",-0.026672717733476
"SCARF1",-0.026166412563349
"KRTAP10-10",-0.025789310799717
"FAM43A",-0.025701939614065
"PDE4B",-0.025435064241286
"GNAI3",-0.024983446700681
"CHST12",-0.024171109462283
"NPAS2",-0.022842712588476
"BTNL9",-0.022741242877175
"AMDHD1",-0.022321185715487
"SOX1",-0.021723591119255
"VIM",-0.021380756426024
"PGM1",-0.021226924631136
"PCDHGA8",-0.021000912888975
"GORASP2",-0.020656345312927
"HMG20B",-0.019980598431832
"TSPYL6",-0.01984113925675
"IL36RN",-0.018784542808518
"LRP10",-0.018782713017276
"FZD9",-0.017633462475227
"NOG",-0.017176516427653
"LRRFIP1",-0.016433364546572
"NUP210",-0.01631999263595
"B3GAT1",-0.016172493077296
"TMEM173",-0.016021936329444
"MIXL1",-0.015983602645664
"CYP1B1",-0.01525548908472
"NRG2",-0.014877219763654
"LRRC71",-0.014697631208268
"SMCO2",-0.014600573771509
"TMPRSS4",-0.014135105991551
"ADRB2",-0.013244771380113
"TWIST1",-0.012820838036944
"NRG1",-0.012278743050227
"MYOZ3",-0.011605966769972
"FABP2",-0.011085538669044
"MNX1",-0.010968554883935
"MSRA",-0.010821903378414
"ULK4",-0.010156377599356
"DAG1",-0.009915627947255
"PTGIR",-0.009341729639236
"DDAH1",-0.009260372657935
"PAAF1",-0.009184058215311
"TRIM58",-0.008512834616343
"PAPOLG",-0.008464637835868
"GBE1",-0.008166708092327
"UNG",-0.006790097973175
"CD83",-0.00669823964689
"MS4A7",-0.005272095679883
"SPAST",-0.004723817815023
"KDM2B",-0.004348158620947
"CLEC3B",-0.004278689154945
"GRIN1",-0.004047485080772
"AAED1",-0.003944512528887
"DEDD2",-0.003313237221376
"TRIM25",-0.002868040359349
"GSTT2",-0.001792882791974
"MYOD1",-0.00166432364738
"SLC6A5",-0.001383921906955
"LOR",-0.001185212166165
"MTF2",-0.000860789796321
"FAM50B",3.7904807849154E-05
"PCDHAC1",9.22619191930461E-05
"TBC1D26",0.0011281505893
"REG3A",0.003144537972305
"SERPINB12",0.003739326853642
"PCOLCE2",0.003740403869247
"GIPC1",0.003869148580671
"SLC26A9",0.003882656358877
"FLNC",0.003982007524054
"CTBS",0.004023788615305
"TACSTD2",0.004068711036365
"C10orf53",0.004140662213135
"DEGS1",0.004159364647423
"APOBEC3H",0.004705005895559
"CDX1",0.004826315903973
"C3orf58",0.005024797661889
"NLK",0.005667927063582
"KRT37",0.006125456709554
"HOXD1",0.006191538919645
"ATG4D",0.006964106252627
"BATF3",0.00697429390488
