Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
SNAPC3,1,-0.254947623,1,-1.008399313,0.75345169
HJURP,1,-0.832939549,0.568595,-1.373077842,0.540138293
TANGO6,1,-1.047321575,0.192037,-2.127271731,1.079950156
HIST1H2BL,0.657305,-0.042385626,0.353612,-0.911508012,0.869122386
DPH6,1,-0.35175696,1,-1.334444422,0.982687461
CCNB1,1,-0.698165581,0.145085,-1.599969638,0.901804057
STRAP,1,-0.338164881,0.425166,-1.011510041,0.67334516
ILF2,1,-0.481795362,0.33551,-0.989897218,0.508101855
TAMM41,0.894301,-0.643362957,0.101451,-1.21454523,0.571182272
MORC2,0.315373,-0.163776735,0.234377,-1.210314571,1.046537836
TIMM17A,1,-0.865365223,0.391458,-1.368023171,0.502657948
CCDC12,1,-0.615991849,0.521063,-1.150918724,0.534926875
MYO18A,1,-0.152945434,0.602349,-0.890829952,0.737884518
WRAP53,1,-0.044083741,1,-1.105824909,1.061741168
TUBGCP5,1,-1.395112238,0.291143,-2.033039765,0.637927528
TCF7L2,1,-0.206771897,0.453174,-1.091442143,0.884670245
ANKRD11,1,-0.135256845,0.590728,-1.151513104,1.01625626
THOC1,1,-0.401123446,0.231433,-1.716263193,1.315139747
ASPM,1,-0.089990466,1,-1.163420775,1.073430309
TAF1A,1,-0.955872838,0.293106,-1.587977187,0.632104349
NR2C2AP,1,-0.401763483,1,-1.261812351,0.860048868
EMC7,1,-0.159361887,0.114798,-0.966165835,0.806803948
RPL27,1,-0.772302195,0.109712,-1.275353162,0.503050967
C9orf41,1,-0.250297817,0.401197,-1.057282707,0.806984889
RBM17,1,-1.010677779,0.478109,-1.612799124,0.602121345
H2AFX,1,-0.26196683,1,-0.944690498,0.682723667
HNRNPH1,1,-0.325343297,0.231275,-0.996814225,0.671470928
BUD13,1,-0.599011939,1,-1.14853009,0.549518151
TRIP13,1,-0.190074382,0.594539,-1.101881896,0.911807514
EWSR1,1,-0.633088203,0.121047,-1.197560824,0.564472622
SF3B14,1,-0.412569191,0.843842,-1.131705683,0.719136492
DDTL,1,-0.084659847,1,-0.842743489,0.758083641
BCAS2,1,-0.551225628,0.896167,-1.114523086,0.563297458
TACC3,1,-0.242608812,1,-0.846691976,0.604083163
GTF3C6,1,-0.538513859,0.347244,-1.137139564,0.598625705
MCM3AP,1,-0.563051962,0.498427,-1.21834881,0.655296848
ATL2,1,-0.043924281,1,-0.9914465,0.947522219
PPAN-P2RY11,1,-0.543910042,0.115011,-1.174973916,0.631063874
FOSL1,1,0.136200161,1,-0.60557963,0.741779791
C12orf45,1,-0.491625364,1,-1.065165788,0.573540423
WDR83,1,-0.316662633,0.454481,-1.478101317,1.161438684
HSPA14,1,-1.087189907,0.478109,-1.598630839,0.511440932
PMF1-BGLAP,1,-0.571014337,0.223865,-1.130212295,0.559197958
STOML2,1,-0.252334898,0.910671,-1.205768249,0.953433351
PRPF38A,1,0.01955199,0.232369,-0.9115812,0.93113319
DNAJC17,0.328547,-0.437813151,0.159847,-1.036589008,0.598775857
MTG2,1,-0.391988666,1,-1.037243775,0.645255109
ATXN2L,1,-0.104678866,1,-0.805937362,0.701258496
LSM2,0.352314,-0.204887684,0.40494,-0.862097534,0.65720985
DYNC1I2,1,-0.646862974,0.133036,-1.382659617,0.735796643
AVEN,1,-0.301658446,1,-0.873324333,0.571665887
FAM210A,1,-0.454829373,0.411341,-1.332097227,0.877267854
SNRPA1,0.841648,-0.311296685,0.470388,-0.999524465,0.68822778
KIF22,1,-0.024873166,1,-1.002602273,0.977729107
BAP1,0.844345,-0.181462731,1,-0.759595066,0.578132334
LSM12,1,-0.358622826,1,-1.167455949,0.808833123
ZWILCH,1,-0.528488553,1,-1.294322208,0.765833655
EIF5AL1,1,-0.426863557,0.246285,-0.973617337,0.54675378
GINS1,1,-0.303800546,0.607931,-1.019336684,0.715536138
MRPS35,1,-0.281112971,0.945457,-0.801014761,0.519901791
TSC22D2,1,0.183072417,1,-0.537717354,0.720789772
DCTN2,1,-0.495201603,0.766985,-1.070666253,0.575464649
HARS2,1,-0.23950737,0.440534,-0.776224247,0.536716877
ANKRD20A4,1,-0.141902449,0.727723,-0.714267896,0.572365447
CENPK,0.837747,-0.893249795,0.333966,-3.307615849,2.414366054
INTS3,1,-0.390211575,0.346053,-1.115129021,0.724917446
CDAN1,1,-0.247621981,0.248687,-0.878632548,0.631010567
CNOT1,1,-0.324282595,0.515285,-1.221729951,0.897447356
MDN1,1,-0.484817135,1,-1.148152385,0.66333525
TRAF2,1,0.056458051,1,-0.818800495,0.875258545
ARMC5,1,-0.050801796,1,-0.636393982,0.585592186
CHCHD2,1,-0.010790744,1,-0.544526115,0.533735371
CEP57,1,-0.749620933,0.348291,-1.898173453,1.14855252
OBFC1,1,-0.412992424,0.302597,-1.020547068,0.607554644
C15orf39,1,-0.096611344,0.550285,-0.830527682,0.733916338
ELP6,1,-0.241324858,1,-1.068413778,0.82708892
ASUN,1,-0.828870477,0.894283,-1.383248447,0.55437797
PSMD3,1,-0.228437593,1,-0.881999552,0.653561959
SRBD1,0.785251,-0.611402227,0.251819,-1.229148418,0.617746191
ZWINT,0.318445,-0.389815108,0.213459,-1.002865818,0.61305071
ARL17A,1,-0.521629972,0.685846,-1.044686033,0.523056061
