Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
KCNC4,1,-0.948116551,0.012898,-0.175711413,-0.772405138
FAM25B,1,-0.233287623,1,-0.506630623,0.273343
EXOSC2,0.005456,-2.129109142,0.415462,-0.819983572,-1.30912557
SLC4A1,0.496795,-1.004778128,0.594539,-0.404074827,-0.600703301
EBNA1BP2,1,-0.486134344,1,-0.84371158,0.357577236
CCT4,1,-0.789683024,0.560332,-1.041349214,0.25166619
OSBP,1,-0.716391527,1,-0.941305961,0.224914434
SPC25,1,-0.526278803,1,-0.979434104,0.4531553
INTS5,1,-0.630368958,1,-0.816043708,0.185674749
SYF2,1,-0.488179554,1,-0.839886074,0.35170652
TEX10,0.011867,-2.202370887,0.052528,-2.005238273,-0.197132614
PSMA4,0.945462,-1.768968229,0.379963,-1.072059199,-0.69690903
LRRCC1,1,-1.254373286,0.608284,-0.445236372,-0.809136913
RNASEH2A,1,-1.1788927,1,-0.577027631,-0.601865069
UVRAG,0.270409,-0.330075096,0.406986,-0.579737412,0.249662316
SARDH,1,-1.208066254,1,-0.236625836,-0.971440418
DDX59,1,-1.607327422,1,-0.733985507,-0.873341915
RSL24D1,0.819586,-1.516162675,0.592406,-0.878059012,-0.638103663
ORC1,0.440621,-0.881756363,0.521063,-1.241133596,0.359377233
SMTN,1,-0.384347861,1,-0.651928453,0.267580592
MRPS22,1,-0.672405576,1,-0.790340071,0.117934495
KIAA1211,1,-0.265749887,0.453863,-0.610843765,0.345093878
CSTF3,1,-0.767884512,1,-1.157641447,0.389756935
MRPS25,1,-0.928786384,0.595782,-1.033743753,0.104957369
GDF1,1,-0.205513413,1,-0.5746152,0.369101786
MAPK3,0.454092,-1.466398264,0.324952,-0.667093459,-0.799304805
TTF2,0.009675,-1.298533135,1,-1.004621187,-0.293911948
PI4KB,0.440996,-1.516456734,1,-0.666924897,-0.849531837
SLC25A26,0.351543,-1.539796276,0.430188,-1.027526129,-0.512270147
CUL7,1,-1.112920675,0.759225,-0.352511011,-0.760409664
DAP3,1,-0.494034561,1,-0.78599255,0.291957989
CNNM3,0.336521,-0.236238491,0.473347,-0.512304074,0.276065583
FAM25G,1,-0.214092694,1,-0.459906174,0.24581348
NUDT21,1,-0.730086623,1,-0.833669654,0.10358303
PSMC3,1,-1.051559456,0.57871,-1.277610027,0.226050571
SMC2,0.000413,-3.122077753,0.521063,-1.479673419,-1.642404334
SSRP1,1,-0.56043357,0.603472,-0.829962853,0.269529283
RPS14,1,-0.613316474,0.931283,-0.541062636,-0.072253838
FASLG,0.713534,-0.776153419,0.432272,-0.795760213,0.019606794
VASN,1,-0.30864742,0.960155,-0.691271262,0.382623842
H2AFB3,1,-0.351008903,1,-0.610510871,0.259501969
KDM2A,1,-1.350999857,1,-0.682261877,-0.66873798
MED20,0.545955,-1.000426422,1,-0.299526183,-0.70090024
TUBA8,0.620691,-1.368214985,0.420805,-0.584872323,-0.783342662
THOC5,0.865586,-0.09396754,0.568595,-0.517234614,0.423267074
CTTN,1,-0.249777243,0.724528,-0.588644609,0.338867367
DHX16,0.102873,-1.468654609,1,-0.525806784,-0.942847825
SPAG5,1,-0.305603163,1,-0.803454388,0.497851225
PPP1R12A,0.026571,-1.849602718,1,-0.929107832,-0.920494886
VCP,0.270703,-1.805765084,0.893832,-1.265711912,-0.540053171
NOP56,1,-0.187341428,1,-0.710982511,0.523641083
VARS2,1,-0.772948417,1,-0.879536234,0.106587817
RPL28,1,-0.150070344,1,-0.526248357,0.376178013
PELO,1,-0.454949482,1,-0.68509763,0.230148148
FPGS,1,-1.403325681,1,-0.574671078,-0.828654603
SRCAP,1,-1.245007808,1,-0.633574031,-0.611433777
GTF2B,0.476368,-1.706909285,0.237819,-1.386643794,-0.320265491
RPS7,1,-0.756443595,0.498466,-1.001705819,0.245262224
IRS1,1,-1.599843604,1,-0.584524644,-1.015318959
TSC2,1,-1.544202258,1,-0.651438108,-0.89276415
NDUFC1,1,-1.093424254,1,-0.637483941,-0.455940313
NSL1,1,-0.196253957,0.379963,-0.401893464,0.205639507
PRPS2,0.306731,-1.840739854,0.478109,-0.214990132,-1.625749722
LSG1,0.472445,-1.057443728,0.478109,-1.227043624,0.169599896
COX17,0.054323,-1.144952374,1,-0.369578604,-0.77537377
MRPL9,1,-0.275410174,1,-0.606292094,0.330881921
HIST1H3D,1,0.086686006,0.306198,-0.28929134,0.375977346
CPEB2,1,-0.071914087,0.482646,-0.500546182,0.428632095
SCO1,1,-0.220852943,1,-0.431969451,0.211116508
RPS23,0.065982,-0.68963836,0.160162,-1.050847646,0.361209286
FOXD4L5,1,-0.578183855,1,-0.697284513,0.119100658
CCDC43,1,-0.281420319,1,-0.536734967,0.255314647
TAF1,0.510207,-1.532906987,1,-0.918860219,-0.614046769
EIF4A3,0.029324,-1.85059435,0.456973,-0.62767617,-1.22291818
DDX5,0.005723,-1.670874999,0.492383,-1.103461773,-0.567413226
SUGP1,1,-0.400139516,1,-0.866371635,0.46623212
TBC1D3,0.829601,-0.713062527,0.315065,-0.895812372,0.182749846
DDX18,0.005663,-1.870511643,0.568595,-0.735027609,-1.135484034
GART,0.428027,-1.196742449,0.884405,-0.741990668,-0.454751781
GINS4,1,-0.546299663,1,-1.013942399,0.467642736
NFS1,0.486574,-1.784141237,1,-0.571564828,-1.212576409
NEK8,1,-1.527123769,1,-0.76386455,-0.76325922
MBD3L2,1,-0.388041864,1,-0.840082391,0.452040527
SKIV2L,1,-0.30535788,1,-0.737217354,0.431859475
ETNK2,0.930163,-0.877203533,0.154109,-0.290714724,-0.586488809
CLEC11A,0.719228,-0.250815373,0.405657,-0.465702958,0.214887584
TRNT1,0.25066,-1.454641454,0.444173,-1.12824624,-0.326395214
CDK3,1,-1.511078199,1,-0.688074045,-0.823004154
KDM8,1,-1.233983557,1,-0.481112873,-0.752870684
RUVBL1,0.014851,-1.708190346,1,-0.922967364,-0.785222982
GTPBP4,1,-1.862951916,1,-0.558725341,-1.304226575
PNISR,0.312556,-0.643123527,0.415061,-0.992570365,0.349446838
PAK1IP1,0.19272,-0.314905508,0.013409,-0.691282686,0.376377178
GARS,0.52026,-1.051154962,1,-0.242369985,-0.808784976
VRTN,1,-0.137773952,0.550285,-0.537165496,0.399391544
INS,1,-1.162826228,1,-0.586963451,-0.575862777
TTI2,1,-0.860330678,0.577679,-0.995157832,0.134827154
EP400,0.295077,-1.049851543,0.66047,-0.368233074,-0.68161847
SAMD14,1,-0.332529941,1,-0.509057374,0.176527433
TUBA1B,1,-1.373674983,1,-0.682283409,-0.691391574
TBL3,1,-0.287258407,1,-0.582027043,0.294768636
POLR2F,0.058419,-2.118512265,0.286119,-0.790223968,-1.328288297
VMA21,1,-0.384764417,0.960937,-0.771584817,0.3868204
MRPL11,1,-0.436651954,1,-0.681436337,0.244784383
RIOK1,0.375268,-1.758360882,1,-0.915096562,-0.843264321
SFPQ,1,-0.280942852,1,-0.533119844,0.252176993
GOLGA6L9,1,-0.645343938,1,-1.007110353,0.361766415
GOLGA6D,1,0.0008372,1,-0.357652,0.3584892
NUBP1,0.342352,-0.514897394,0.516589,-0.615444549,0.100547155
L3MBTL2,0.644342,-1.232309641,1,-0.524665349,-0.707644292
SDHD,0.319237,-1.194813969,0.972368,-0.381226911,-0.813587058
SNRNP40,0.005947,-1.930269848,0.541979,-1.021958217,-0.908311631
SIN3A,0.492442,-1.693052705,0.60934,-0.65651404,-1.036538665
PSMC6,0.328962,-0.698316715,0.456973,-0.890168589,0.191851874
LIG1,0.994102,-1.831778472,1,-0.858411076,-0.973367396
TARS,0.233633,-1.847025824,1,-0.800804896,-1.046220928
COPB2,0.432802,-1.663537469,0.387656,-0.822336478,-0.841200991
DR1,1,-0.503391694,0.552189,-0.736325069,0.232933375
XRN2,1,-1.730207077,0.403176,-0.997749332,-0.732457745
SEPSECS,0.111338,-1.154025706,1,-0.55395422,-0.600071486
POLD2,1,-1.732454245,1,-0.54867012,-1.183784125
ABT1,0.872795,-0.131863773,0.573833,-0.326847236,0.194983462
LAIR1,1,-0.339295395,1,-0.57507869,0.235783295
ZNF830,1,-0.627263314,1,-1.009444246,0.382180932
COX6B1,0.609037,-1.297975937,1,-0.491320414,-0.806655523
GTF3C3,1,-0.804242832,0.121047,-1.073493739,0.269250907
GDE1,0.516963,-1.1203362,1,-0.26877217,-0.85156403
UTP20,1,-0.647858821,0.299717,-0.979735138,0.331876317
NDC80,1,-1.587626683,0.32407,-1.438861862,-0.14876482
LMOD1,0.634384,-0.659034845,0.457188,-0.857463165,0.19842832
SERPINF1,1,-0.955520113,0.488118,-0.396889817,-0.558630296
EFNA3,1,-1.101935632,0.690287,-0.457392046,-0.644543587
ARFRP1,0.625854,-1.235476289,1,-0.384685672,-0.850790617
FAM83E,1,-0.329028251,1,-0.738603068,0.409574817
ISYNA1,1,-1.475434452,1,-0.573801131,-0.901633321
RPS25,0.063369,-0.521043526,0.326466,-0.603657068,0.082613542
GOLGA6L10,1,-0.022441924,0.568595,-0.477890797,0.455448873
AASDHPPT,0.515406,-1.07436795,0.974319,-0.487072362,-0.587295588
MCM5,0.442745,-1.292139916,1,-0.273958307,-1.018181608
RHPN1,1,-0.423029112,1,-0.559213649,0.136184537
SNRPD3,1,0.314070351,0.017546,-0.030049942,0.344120293
SRPR,1,-0.553404575,0.597026,-0.921678533,0.368273957
COG3,0.105555,-1.280653189,1,-0.527693893,-0.752959296
MRPS18A,1,-0.474017891,1,-0.591581431,0.117563541
CBLB,0.328547,-1.127435758,0.240989,-0.363652582,-0.763783176
CBWD1,0.593492,-0.546981595,0.379963,-0.981270505,0.43428891
CCDC144A,1,-0.147742603,1,-0.534136595,0.386393993
GAL,1,-0.428155129,1,-0.592251449,0.16409632
H2AFB2,1,-0.323869339,1,-0.563873659,0.24000432
PCK2,1,-1.397729286,1,-0.844652442,-0.553076844
SLC5A9,1,-1.447414275,1,-0.4982812,-0.949133075
UBQLN4,1,-0.991146413,1,-0.595941686,-0.395204727
SCGB1C1,1,-0.732697814,1,-0.864487715,0.131789901
NUP98,0.115833,-1.571872304,1,-1.136603578,-0.435268726
HYOU1,1,-0.133213532,1,-0.398612367,0.265398835
KANSL3,0.620691,-0.441067758,0.607346,-0.773297739,0.332229982
RBBP8,1,-1.045969105,1,-0.503934337,-0.542034768
MRPL17,1,-0.158878589,1,-0.315702366,0.156823777
FAHD2B,1,-0.551777145,1,-0.859502027,0.307724882
YEATS2,0.656661,-1.324382237,1,-0.689977475,-0.634404762
TRIM28,1,-1.204043372,1,-0.488576236,-0.715467136
STIL,1,-0.390588426,0.401197,-0.87453601,0.483947584
SCAF1,1,-0.570920933,1,-0.507490314,-0.063430619
MRPL20,1,-0.666370396,0.60934,-1.004948918,0.338578522
DSCC1,1,-0.194241971,1,-0.534201676,0.339959705
SETD2,0.080758,-1.788971765,1,-0.801124016,-0.987847749
DNAJC8,1,-0.346730408,1,-0.778947834,0.432217426
FUT11,1,-1.206566158,1,-0.523778742,-0.682787416
PKM,1,-0.839588675,1,-0.701497472,-0.138091203
RPS13,1,-0.934841958,0.874634,-0.932192174,-0.002649783
HIVEP3,1,-0.481734492,1,-0.700041721,0.218307228
TUBGCP6,1,-0.488913803,1,-0.845258158,0.356344355
C18orf21,1,-1.108150048,0.725692,-1.043097484,-0.065052563
NAA30,1,-1.325059296,1,-0.431418787,-0.893640509
COA5,1,-0.712281232,0.424192,-0.643224393,-0.06905684
UTP14A,1,-0.925387406,0.50579,-1.207218903,0.281831497
SNF8,0.194641,-1.264690114,1,-0.395344496,-0.869345618
KRTAP2-1,1,-0.342590616,1,-0.587326759,0.244736142
HAUS5,1,-0.438513972,0.368594,-0.42378905,-0.014724922
LAD1,1,-0.478488546,0.559376,-0.625850684,0.147362139
DEXI,1,-0.370159356,1,-0.668886701,0.298727345
NDUFB9,1,-1.178583672,1,-0.473976363,-0.704607309
RHBDD3,1,-0.186935641,1,-0.510392268,0.323456627
SMC5,1,-0.365765177,1,-0.720131671,0.354366494
UROD,1,-0.945286908,1,-0.872928314,-0.072358594
MDC1,0.470762,-0.713943301,0.434739,-1.158431714,0.444488412
MRPL52,1,-0.138146244,1,-0.397478829,0.259332585
HEATR2,1,0.138803175,1,-0.389123764,0.527926939
ZBED2,1,-0.652520808,1,-0.712243089,0.059722281
NSF,1,-1.514386639,1,-0.622572051,-0.891814588
STAB1,0.402243,-1.377038851,1,-0.483571973,-0.893466878
DNAH10,0.667943,-0.581691362,0.493086,-0.838768212,0.25707685
SMG6,0.550539,-1.075845444,1,-0.39248921,-0.683356234
CBWD6,0.400682,-0.830229044,0.424192,-1.202395984,0.37216694
CHCHD4,0.963193,-0.759125283,0.480043,-0.959165933,0.20004065
NCAPD3,1,-1.206844032,1,-1.229929637,0.023085605
ATXN7L1,0.576305,-0.298886682,0.50658,-0.663461607,0.364574925
WEE1,0.613437,-1.396249361,0.460893,-0.827525751,-0.56872361
VPS16,1,-1.203540886,1,-0.377882865,-0.825658022
TMEM199,1,-0.636523966,1,-0.628716116,-0.007807851
AKT1S1,1,-0.309333882,1,-0.430076086,0.120742204
CKS1B,1,-1.263569874,1,-0.541775552,-0.721794322
HNRNPM,1,0.094519697,0.573833,-0.377375573,0.47189527
PSMD12,1,-0.333861838,1,-0.735041015,0.401179178
SMARCE1,0.455962,-1.056873465,1,-0.561139414,-0.495734052
LOC147646,1,-0.727596697,1,-0.789123909,0.061527211
RPL17,1,-0.892787647,0.405537,-1.262502785,0.369715138
ATP5C1,1,-1.190581046,1,-0.560775084,-0.629805962
RAC1,0.065066,-2.265682851,0.673952,-1.386924977,-0.878757874
APRT,0.59385,-1.388942736,1,-0.466250856,-0.92269188
ACTG1,1,-0.365149011,1,-0.495385913,0.130236901
PSMC2,1,-0.546961612,0.450507,-0.920087929,0.373126317
CRLF1,1,-0.400251632,1,-0.567249515,0.166997883
WNT8B,1,-0.378292559,1,-0.670119598,0.291827039
VPS52,1,-0.58203157,1,-0.939115081,0.357083511
XRCC2,0.005328,-0.926771958,0.011692,-0.753448981,-0.173322977
GP6,1,-0.909488447,0.943018,-0.291921877,-0.617566569
H3F3A,1,-0.407855002,0.448847,-0.732716074,0.324861072
CDC40,0.663997,0.126335105,0.873781,-0.529778216,0.65611332
UGP2,1,-1.145654951,0.420805,-1.101751515,-0.043903436
FAF2,1,-1.018700224,0.944884,-0.937323837,-0.081376387
CDC73,0.008318,-1.953132131,1,-1.069010555,-0.884121576
NFYC,1,-0.315798498,1,-0.721014885,0.405216386
RANGAP1,0.423449,-0.620907486,0.234414,-0.741577406,0.12066992
TDP2,1,0.058785877,1,-0.528716843,0.58750272
SLC25A47,0.931079,-0.053013081,0.375167,-0.414940111,0.36192703
SPTLC2,0.509697,-0.84004195,1,-0.1992831,-0.640758849
MAD2L1,1,-0.763878601,1,-0.829113115,0.065234513
C16orf91,1,-0.002491851,0.523845,-0.453771642,0.45127979
HDAC3,0.001817,-2.192983208,1,-0.963562516,-1.229420692
ERLEC1,0.84906,-0.024045419,0.32407,-0.312730369,0.28868495
MRPL3,1,-0.406993305,1,-0.75004062,0.343047315
PDPK1,1,-0.977867064,1,-0.25597965,-0.721887414
FAM71E1,1,-0.120772492,0.521063,-0.358050483,0.237277991
CRAMP1L,1,-1.081983537,1,-0.41040948,-0.671574058
RRP9,1,-0.531090183,1,-0.688720407,0.157630223
CRELD1,1,-0.401220382,0.901234,-0.54114936,0.139928978
KIF18A,0.447266,-1.396074805,0.18383,-0.98618198,-0.409892824
ATRN,1,-0.103138358,0.974319,-0.451615506,0.348477148
TBC1D3F,1,-0.618191088,0.298779,-0.725473682,0.107282594
PPP4R2,1,-0.616108459,1,-0.71195196,0.095843501
C14orf166,1,-0.312811441,1,-0.507393963,0.194582522
RINT1,0.268991,-0.642315934,0.532409,-0.918107668,0.275791734
ISCA2,1,-0.13836539,0.579367,-0.259845951,0.121480561
RPS21,1,-0.223656992,1,-0.525834697,0.302177704
MRPL27,1,-0.308555673,1,-0.518536838,0.209981166
KIAA1614,1,-0.394591512,1,-0.385843608,-0.008747904
CHAF1B,0.080744,-1.287717661,0.416157,-0.438774947,-0.848942714
FBXL19,0.608411,-1.253089528,0.842077,-0.508819789,-0.744269738
GNL2,0.080758,-1.393910316,0.873781,-1.040230304,-0.353680012
BIRC6,1,-1.085712835,1,-0.751550205,-0.33416263
PSMG1,1,-0.387369085,1,-0.722366566,0.334997481
SF3B4,1,-0.581703088,1,-0.62708468,0.045381592
SUMO2,1,-1.350259947,1,-0.556066403,-0.794193544
WDR36,1,-0.469179014,1,-0.59158421,0.122405196
IK,1,-0.460637352,1,-0.754310393,0.293673041
SYMPK,1,-0.288826145,1,-0.555865999,0.267039854
DCTN6,0.867407,-1.102044932,1,-0.662633741,-0.439411192
PRODH,1,-1.022465546,1,-0.431457493,-0.591008052
PTCD1,1,-0.494263321,0.585665,-0.802396468,0.308133147
NUP88,1,-1.506666309,0.847029,-0.882896866,-0.623769443
PRDM15,1,-1.171325688,1,-0.48435584,-0.686969849
NOTCH2,1,-0.130538318,0.913266,-0.484039103,0.353500785
PPP1R18,0.624927,-0.103403524,0.498427,-0.648299241,0.544895716
FECH,1,-0.746921175,1,-0.387348451,-0.359572724
MED15,1,-0.554394902,1,-0.629792481,0.075397579
EIF5A,0.35624,-0.168052081,0.415061,-0.672017125,0.503965044
ANAPC10,0.492519,-1.470845944,1,-0.933140176,-0.537705768
HLA-DRB5,0.853495,-1.973346813,0.941072,-0.982337608,-0.991009205
ASNA1,0.381374,-1.577166543,1,-0.580452477,-0.996714066
ERCC3,0.046878,-2.232539325,1,-0.842829471,-1.389709855
MAG,1,-0.073512777,1,-0.569863542,0.496350764
ZFYVE21,0.455962,-0.058315123,0.20852,-0.113094341,0.054779218
GNB1L,1,0.064011944,0.60934,-0.280242937,0.344254881
POTEE,0.960988,-0.143929391,0.637432,-0.399633995,0.255704604
AURKB,0.026571,-1.636897596,1,-1.016434745,-0.620462851
CAMLG,1,-0.963003487,1,-0.251742941,-0.711260546
NLE1,0.077466,-1.406288216,1,-0.373962446,-1.032325771
TIMM23,0.016325,-1.849925325,1,-0.60600159,-1.243923736
RPS12,1,-0.176945149,1,-0.587398464,0.410453315
NGDN,1,-0.684156368,0.594692,-0.945444004,0.261287637
FMNL2,0.455098,-0.401882721,0.39104,-0.474525374,0.072642653
NUS1,0.849256,-0.411093478,0.308179,-0.441973953,0.030880475
INS-IGF2,1,-0.495419097,0.46968,-0.74378463,0.248365532
SCMH1,1,-1.108442261,1,-0.261816158,-0.846626103
SENP2,1,-0.537991802,0.594539,-0.654441434,0.116449631
CDC23,0.088308,-1.814992389,0.93502,-1.173580946,-0.641411443
BMS1,1,-0.470538551,1,-0.70258762,0.232049069
CSE1L,0.00099,-2.35881329,1,-1.046271653,-1.312541637
OSTC,1,-0.981834796,1,-0.585671913,-0.396162883
NCBP1,1,-1.304146793,0.911529,-1.48968612,0.185539327
KRTAP2-2,1,-0.346054545,1,-0.535909613,0.189855068
RPL22,0.540471,-0.527385601,0.849395,-1.012823168,0.485437567
IGFBP6,1,-0.130887426,1,-0.34284724,0.211959814
TRIM24,0.75318,-1.545772986,0.536439,-1.20807907,-0.337693916
PHB2,0.630722,-0.415655508,0.576723,-0.522715623,0.107060116
SPATA21,0.518473,-0.133702781,0.398856,-0.415910454,0.282207674
CARS2,1,-0.80919276,1,-0.336602537,-0.472590223
TBX2,1,-0.375022632,1,-0.48883538,0.113812748
NAA20,0.409707,-0.743153826,0.3778,-0.141288853,-0.601864973
SPC24,1,-0.392495736,0.772897,-0.451277241,0.058781505
HEATR1,1,-0.792720957,1,-0.986424258,0.193703301
HYPK,0.552899,-0.599281438,0.400539,-0.94838317,0.349101732
CHMP5,0.6251,-1.653979016,1,-0.849477252,-0.804501763
NAF1,1,-0.02744635,1,-0.380251659,0.352805309
WDR33,0.018598,-0.349405764,0.237801,-0.475809413,0.126403649
ING1,1,-0.631234337,1,-0.426554224,-0.204680113
ZFP36,1,-0.252044144,1,-0.618630969,0.366586825
H2AFZ,1,-0.317722986,0.083077,-0.482569107,0.164846121
LSM7,1,-0.415134636,0.594692,-0.411613341,-0.003521294
TRMT1L,1,-0.853759786,0.862009,-0.2656138,-0.588145986
KRTAP5-10,1,0.143180274,1,-0.349196933,0.492377207
NDUFA11,1,-1.043630162,1,-0.468289103,-0.575341059
KIAA0391,1,-0.237790242,1,-0.675705117,0.437914875
CIC,1,-0.48776317,1,-0.645378036,0.157614866
BHLHE22,0.553385,0.013575486,0.576723,-0.290450489,0.304025974
HIST1H2BD,0.455098,-0.194615776,0.229023,-0.460554184,0.265938408
GTF2F1,1,-0.331215874,1,-0.637863633,0.30664776
MAGT1,1,-0.928803799,1,-0.343347326,-0.585456473
NSMCE1,0.190684,-1.462195189,1,-0.527441816,-0.934753373
MRPL10,1,-0.462216236,1,-0.817647113,0.355430877
DARS2,0.25581,-1.238492491,0.180271,-0.904199295,-0.334293196
EIF3H,0.816301,-0.878993094,0.336343,-0.110282608,-0.768710486
HAUS8,1,-0.462936072,0.576723,-0.626390917,0.163454845
CD2BP2,1,0.009484447,1,-0.395220042,0.404704488
ZC3H4,1,-0.381822338,1,-0.460183093,0.078360755
NDUFA8,1,-0.905600895,1,-0.330791658,-0.574809237
DPH2,1,-0.368365719,1,-0.63385922,0.265493501
HCFC1,1,-0.239986798,1,-0.485533748,0.245546951
MYLK3,1,-0.878763004,1,-0.516386782,-0.362376222
ZSWIM8,1,-0.203011644,1,-0.596696548,0.393684905
NDUFV1,1,-1.13652148,1,-0.470748922,-0.665772558
CENPH,1,0.056259641,0.603111,-0.44380175,0.500061391
COG2,1,-0.995704981,1,-0.466105957,-0.529599024
WIBG,1,-0.182994241,1,-0.654329833,0.471335593
MRPS27,0.144805,-0.201025057,0.420805,-0.287238256,0.086213199
ATP5J2-PTCD1,1,-0.514287993,1,-0.739527268,0.225239276
KRTAP4-7,1,-0.407065231,1,-0.538838503,0.131773272
SMARCB1,1,-1.343853287,1,-0.644310678,-0.699542609
C17orf97,0.936156,0.00656081,0.453174,-0.301014991,0.307575801
ZNF207,1,-0.70968912,1,-0.72196344,0.01227432
SCO2,1,-0.012425601,1,-0.367177261,0.354751661
HIC2,1,-1.081921353,1,-0.412896945,-0.669024408
USPL1,1,-1.734808204,0.366504,-1.00657836,-0.728229844
DHX8,0.224267,-1.484790423,1,-0.447419634,-1.037370789
PLEKHM1,1,-0.247266713,1,-0.690174668,0.442907955
CCDC71L,0.829904,-0.203444106,0.3778,-0.437278421,0.233834315
MFAP1,1,-1.160860853,0.379963,-1.392487327,0.231626474
INO80B,1,-0.011054817,0.53698,-0.233394921,0.222340105
SYNCRIP,0.903152,-0.252611024,0.804979,-0.56288982,0.310278795
TRIM73,0.585752,-0.082090592,0.893832,-0.578221345,0.496130753
SRM,1,0.020320364,1,-0.506872448,0.527192812
KRT2,1,-0.109989191,0.498466,-0.376504816,0.266515625
HTR1B,1,-1.22759299,0.772801,-0.563452994,-0.664139997
ELAC2,0.09729,-1.714174679,0.991271,-0.602577154,-1.111597525
AP3B1,1,-0.977976027,1,-0.609765644,-0.368210383
RPAIN,1,-0.36021747,1,-0.738461878,0.378244408
TENC1,1,-0.073775233,1,-0.350165423,0.27639019
EIF1AD,0.346557,-0.599629603,0.570543,-0.61331478,0.013685177
TRUB2,0.393127,-1.083412447,0.340062,-0.739481434,-0.343931013
BTBD1,1,-1.093211647,1,-0.407283588,-0.685928059
GEMIN7,1,-0.137822138,1,-0.32970545,0.191883312
C17orf74,1,-0.578047774,0.802157,-0.608395212,0.030347438
EXOC7,1,-1.193604181,1,-0.625754449,-0.567849732
TRIM44,0.480651,-0.170964221,0.400681,-0.338633372,0.167669151
DEF6,0.490744,-0.243186748,0.440702,-0.524072366,0.280885618
TTC31,1,-0.453455821,1,-0.694052533,0.240596712
CSNK1A1,0.073778,-1.415055054,1,-0.466638785,-0.948416269
KANSL1,1,-0.607138215,1,-0.890178092,0.283039877
LRRC58,1,-0.072314203,1,-0.342013716,0.269699513
MED9,1,-0.080645791,1,-0.455833252,0.375187462
TCEB3C,1,-0.162604579,1,-0.620799584,0.458195005
PIAS4,1,-0.154557932,1,-0.530520847,0.375962915
NBPF24,0.956889,-0.273131982,0.651362,-0.489454928,0.216322946
BHMT2,1,-1.014087807,1,-0.364176763,-0.649911044
GCN1L1,1,-0.738690951,1,-1.09129276,0.35260181
ARSJ,1,-1.34024144,1,-0.553156844,-0.787084596
KIAA1524,1,-0.664521191,1,-0.957437274,0.292916083
ACSF2,0.533707,-0.906981035,1,-0.204145121,-0.702835914
BUB1B,0.154791,-1.381913431,0.770054,-0.812397229,-0.569516203
FUBP1,1,-0.212469514,1,-0.607006914,0.3945374
PSMD13,1,-1.01133447,1,-1.212745941,0.201411471
FAM98C,1,-0.241012673,1,-0.390738299,0.149725625
CASZ1,1,-1.010951604,1,-0.241040735,-0.769910869
SCPEP1,1,-1.253605374,1,-0.436594586,-0.817010788
DDX52,0.161687,-1.941777557,0.967028,-0.992901515,-0.948876042
LRRC37A2,1,-0.089231567,1,-0.618918846,0.529687279
PMPCB,0.330664,-1.531079725,1,-0.480886001,-1.050193724
NPIPA3,0.750825,-0.522812349,0.416721,-0.744058082,0.221245734
FBXL14,1,-0.817976213,1,-0.40209082,-0.415885393
ATF4,1,-0.22472691,1,-0.724709393,0.499982483
CCNF,1,-1.269091007,0.60934,-0.497373494,-0.771717513
CTAGE4,1,-0.536802683,1,-0.910777585,0.373974902
ABHD5,0.853495,-0.859457664,0.128357,-0.34888678,-0.510570884
SP1,1,-1.076210016,1,-0.623921908,-0.452288108
RILPL2,0.120065,-0.203158638,0.315385,-0.367654189,0.164495551
RPL4,0.106894,-1.605456026,0.639102,-0.737994197,-0.867461829
GOLGA8A,1,-0.245342486,1,-0.552041951,0.306699465
CDCA8,1,-0.468270051,0.100725,-0.728675326,0.260405275
TAF7,0.436204,-0.584917851,0.18383,-0.667714759,0.082796908
RNMT,0.088308,-1.475212862,0.223865,-0.707020026,-0.768192835
POLA2,0.197375,-1.613981056,0.653856,-0.69035794,-0.923623116
CEP85,1,0.08031293,1,-0.684176632,0.764489562
FAM109B,1,-0.437912818,1,-0.504592955,0.066680137
LARS,0.014688,-1.831881867,0.21562,-1.223171167,-0.6087107
TYSND1,1,-0.165814309,0.476613,-0.433706066,0.267891757
DNAJA2,1,-1.520615944,1,-0.871527963,-0.649087981
SRP9,1,-0.476384855,0.513015,-0.694617749,0.218232895
PAK4,0.881455,-0.68923724,1,-0.071816255,-0.617420985
NXF1,0.093048,-1.377788026,0.579367,-0.413771899,-0.964016127
ZBTB8OS,0.346557,-0.432374644,0.871095,-0.82671293,0.394338286
TLE4,1,0.073704012,0.478109,-0.299957104,0.373661116
ART5,1,-1.127165463,1,-0.258272492,-0.86889297
YEATS4,1,-1.537054488,1,-0.850301248,-0.686753241
PAF1,1,-0.361670179,1,-0.449234296,0.087564117
ACTR8,0.486574,-0.323176879,0.397777,-0.590623632,0.267446752
COPG1,1,-0.962911785,1,-0.802436216,-0.160475569
ZGLP1,1,-0.03901495,1,-0.282349184,0.243334234
NIPBL,0.557282,-0.020648137,0.223865,-0.480844468,0.460196331
TOMM70A,1,-1.196253384,1,-0.467633181,-0.728620202
EXOSC8,0.051707,-1.744864774,1,-0.912974396,-0.831890378
CENPJ,1,-0.297158305,1,-0.711296717,0.414138412
TCEB3CL,1,-0.163391435,1,-0.641123734,0.477732299
REXO2,1,-1.092133058,1,-0.552938967,-0.539194092
DNAJA3,0.131685,-0.781391725,0.776243,-0.803410102,0.022018377
TOP2A,0.42646,-1.360065797,0.602349,-0.887975624,-0.472090173
PRPF4,1,-0.436045767,0.4406,-0.696850892,0.260805125
